sep=|
Name|Phone|Email|Director|Amount Of Pupils|Post|
Підгайчиківський ліцей Коломийської районної ради Івано - Франківської області|(03433)65369|pidgayschool@ukr.net|Михайлюк Світлана Степанівна|278|Україна, Івано-Франківська область, Коломийський район, с.Підгайчики, вул. Шевченка, 15|
Раківчицький ліцей Коломийської районної ради Івано-Франківської області|(03433)99247|rakivchuk@ukr.net|Попадюк Алла Анатоліївна|108|Україна, Івано-Франківська область, Коломийський район, с.Раківчик, вул. Височана, 2|
Сідлищенська гімназія Коломийської районної ради Івано-Франківської області|(03433)6-20-61|school_sidlyshche@ukr.net|Воловський Ігор Васильович|64|Україна, Івано-Франківська область, Коломийський район, с.Сідлище, вул. Молодіжна, 45|
Спаська гімназія Коломийської районної ради Івано-Франківської області|(03433)9-36-14|spas_school12@ukr.net|Мельник Іван Миколайович|147|Україна, Івано-Франківська область, Коломийський район, с.Спас, вул. Шашкевича, 308 Б|
Спаський ліцей імені Івана Франка Коломийської районної ради  Івано-Франківської області|(03433)93648|spas_school@ukr.net.|Угринчук Ігор Миколайович|199|Україна, Івано-Франківська область, Коломийський район, с.Спас, вул. Шашкевича, 98|
Старогвіздецька гімназія Коломийської районної ради Івано-Франківської області|(03433)68546|strgvizdec_shool@ukr.net|Микитеєк Людмила Іванівна|98|Україна, Івано-Франківська область, Коломийський район, с.Старий Гвіздець, вул. Січових Стрільців, 13 А|
Струпківський ліцей Коломийської районної ради Івано-Франківської області|(03433)6-24-05|school_str@ukr.net|Синиця Галина Василівна|179|Україна, Івано-Франківська область, Коломийський район, с.Струпків, вул. Шевченка, 30|
Торговицький ліцей Коломийської районної ради Івано-Франківської області|(034)3367349|torhovshkola@gmail.com|Курчій Володимир Михайлович|213|Україна, Івано-Франківська область, Коломийський район, с.Торговиця, пл. Площа Героїв, 3|
Угорницька гімназіяОтинійської селищної ради|(03433)62348|ugornyk.shcool@gmail.com|Злепко Мар'яна Михайлівна|198|Україна, Івано-Франківська область, Коломийський район, с.Угорники, вул. Тараса Шевченка, 30|
Ценявська гімназія Коломийської районної ради Івано-Франківської області|65-7-46|cenyava@ukr.net|Сокур Віталій Васильович|151|Україна, Івано-Франківська область, Коломийський район, с.Ценява, вул. Шкільна, 2|
Черемхівська  гімназія Коршівської сільської ради Коломийського району  Івано- Франківської області|0963464256|cheremhiv_school@ukr.net|Федорович Ірина Богданівна|157|Україна, Івано-Франківська область, Коломийський район, с.Черемхів, вул. Українська, 39|
